Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
FOX,Fortress,55.45,13.3,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,25.89,0.51
OLLI,Fortress,113.75,31.42,Consumer Defensive,7.14,11.91,9.03,10.84,2.5,100.0,6.98,0.53
YELP,Fortress,23.21,10.36,Communication Services,4.42,18.23,14.0,6.14,2.989,100.0,1.46,0.53
TS,Fortress,48.65,13.08,Energy,6.69,14.69,20.03,21.59,4.079,42.76,24.56,0.55
AU,Fortress,112.27,24.62,Basic Materials,8.24,15.64,42.49,19.41,2.581,11.39,56.68,0.62
RIO,Fortress,99.52,15.85,Basic Materials,4.4,18.94,25.05,34.74,1.526,10.59,198.66,0.62
AEM,Fortress,217.19,31.75,Basic Materials,7.89,10.21,53.1,29.01,2.12,33.63,109.04,0.66
BHP,Fortress,75.13,21.16,Basic Materials,3.76,21.71,37.7,42.42,1.46,10.79,193.0,0.68
GFI,Fortress,57.27,27.4,Basic Materials,8.21,24.17,46.44,35.92,1.886,40.44,51.54,0.68
LOGI,Fortress,93.32,19.56,Technology,9.7,27.26,20.24,13.38,2.214,100.0,13.76,0.68
ALC,Fortress,79.39,37.8,Healthcare,3.31,5.16,12.85,9.99,2.118,7.54,39.15,0.69
CF,Fortress,96.93,11.72,Basic Materials,3.08,15.03,33.94,36.5,2.273,13.68,15.7,0.69
MAT,Fortress,15.8,11.97,Consumer Cyclical,3.01,14.18,22.18,12.26,1.598,6.24,5.09,0.69
SLB,Fortress,51.56,21.94,Energy,3.19,12.08,15.99,16.01,1.326,8.69,77.1,0.7
BRBR,Fortress,17.59,12.13,Consumer Defensive,5.5,54.3,14.61,16.89,2.234,5.23,2.08,0.72
MDT,Fortress,101.08,27.39,Healthcare,3.01,8.07,20.3,18.47,2.415,8.72,129.65,0.72
HOLX,Fortress,75.09,31.16,Healthcare,4.17,9.93,22.99,23.67,4.04,6.82,16.76,0.73
CPRX,Fortress,23.93,13.99,Healthcare,16.76,26.7,44.66,36.56,6.622,100.0,2.94,0.73
HAL,Fortress,35.03,23.35,Energy,3.51,10.93,14.9,15.99,2.04,6.03,29.48,0.75
GNTX,Fortress,24.42,14.03,Consumer Cyclical,13.61,18.68,18.64,21.19,2.912,100.0,5.36,0.76
J,Fortress,142.36,37.56,Industrials,3.1,8.72,7.43,6.24,1.33,4.73,16.81,0.77
GMAB,Fortress,30.06,13.18,Healthcare,11.19,22.92,44.91,35.78,6.034,77.37,18.52,0.8
DT,Fortress,37.13,61.88,Technology,5.23,6.5,14.11,9.07,1.565,,11.19,0.81
BWXT,Fortress,198.5,59.43,Industrials,8.78,16.2,10.91,13.47,1.708,9.83,18.15,0.83
OPCH,Fortress,34.67,27.52,Healthcare,3.92,12.59,5.89,6.35,1.557,6.78,5.63,0.84
EXLS,Fortress,30.25,20.44,Technology,7.45,21.13,14.37,14.12,2.905,14.57,4.89,0.88
RMD,Fortress,259.62,25.65,Healthcare,13.02,23.58,35.16,29.4,3.06,,37.9,0.88
JHX,Fortress,26.0,59.09,Basic Materials,4.79,15.53,11.96,22.3,1.793,16.74,15.08,0.89
TSEM,Fortress,134.44,77.71,Technology,22.19,7.92,12.78,14.02,6.61,54.97,15.12,0.89
HSIC,Fortress,81.69,25.77,Healthcare,3.21,8.69,6.14,6.32,1.396,4.92,9.91,0.89
FAST,Fortress,47.02,43.14,Industrials,33.64,38.3,18.95,20.46,4.852,267.94,53.99,0.89
TTEK,Fortress,40.42,30.39,Industrials,4.8,14.41,12.88,9.98,1.314,10.29,10.54,0.9
ZM,Fortress,92.15,17.93,Technology,9.95,8.95,25.24,15.14,4.448,100.0,27.58,0.9
MGY,Fortress,26.96,15.58,Energy,5.1,20.06,29.62,50.75,1.536,35.32,5.14,0.91
HON,Fortress,242.7,32.06,Industrials,3.68,15.33,15.41,18.84,1.316,7.82,163.55,0.93
AGI,Fortress,46.25,36.13,Basic Materials,7.11,10.53,80.68,28.96,1.717,35.88,19.42,0.94
CTAS,Fortress,200.36,43.37,Industrials,13.14,28.91,23.42,21.26,1.705,23.39,80.52,0.95
CTSH,Fortress,70.91,15.55,Technology,6.44,18.27,16.0,15.24,2.337,55.41,34.22,0.96
ZTS,Fortress,128.67,21.63,Healthcare,6.44,31.02,39.33,36.21,3.643,14.92,57.02,0.96
PGNY,Fortress,21.55,34.76,Healthcare,9.25,15.38,6.87,5.23,2.955,100.0,1.86,0.97
B,Fortress,47.64,16.26,Basic Materials,4.1,19.24,52.58,33.23,2.922,20.7,79.81,0.98
HALO,Fortress,79.51,16.77,Healthcare,5.51,29.89,61.51,49.45,1.587,31.79,9.35,0.98
WPM,Fortress,149.11,67.78,Basic Materials,247.65,8.72,66.54,50.89,8.089,2269.82,67.79,0.98
DV,Fortress,9.61,36.96,Communication Services,6.34,7.67,11.19,12.15,3.978,80.42,1.57,0.98
CNM,Fortress,57.84,25.37,Industrials,3.69,14.37,10.67,10.21,2.265,5.06,11.42,0.98
ROST,Fortress,192.54,30.08,Consumer Cyclical,6.66,27.53,11.58,11.64,1.52,44.5,62.62,0.99
TXN,Fortress,226.56,41.49,Technology,10.33,19.9,33.35,40.66,4.353,11.52,205.86,0.99
